phrase1,phrase2,sentence1,sentence2,label,idx
exercise,exercise,some parents exercise their infants .,this puzzle will exercise your mind .,1,401
carry,carry,these bonds carry warrants .,the restaurant carries an unusual name .,1,402
language,language,he recorded the spoken language of the streets .,he uttered harsh language .,1,403
track,track,track a missile .,i tracked prints .,0,404
polish,polish,polish my shoes .,he polished up the chrome until it gleamed .,1,405
product,product,this is a product of lime and nitric acid .,his reaction was the product of hunger and fatigue .,0,406
come,come,come into the room .,the first success came three days later .,0,407
check,check,check the brakes .,i will check up on the car tomorrow .,1,408
control,control,the control condition was inappropriate for the conclusions he wished to draw .,i turned the controls over to her .,0,409
give,give,give priority to .,the french doors give onto a terrace .,0,410
call,call,he heard the phone ringing but did n't want to take the call .,he placed a phone call to london .,1,411
move,move,we must move quickly .,"come on guys , let 's move : there 's work to do !",1,412
know,know,i know the feeling !,have you ever known hunger ?,1,413
hegemony,hegemony,the consolidation of the united states ' hegemony over a new international economic system .,to say they have priority is not to say they have complete hegemony .,1,414
float,float,float the plaster .,the balloon floated off into the distance .,0,415
make,make,make a move .,they make a cute couple .,0,416
play,play,play a hooked fish .,he played $ 20 on the new horse .,0,417
get,get,where did she get these news ?,you can not get water out of a stone .,1,418
run,run,his daily run keeps him fit .,he broke into a run .,1,419
know,know,"i know your mother , but i 've never met your father .",i know this voice !,1,420
practice,practice,i took over his practice when he retired .,it is not the local practice to wear shorts to dinner .,0,421
inwardness,inwardness,"inwardness is what an englishman quite simply has , painlessly , as a birthright .","socrates ' inwardness , integrity , and inquisitiveness""- h.r.finch .",0,422
admit,admit,to admit a serious thought into the mind .,to admit evidence in the trial of a cause .,1,423
date,date,his date never stopped talking .,we have n't heard from them to date .,0,424
feast,feast,we had a feast to celebrate the harvest .,the thanksgiving feast .,0,425
section,section,a section of a fishing rod .,the finance section of the company .,0,426
tramp,tramp,a homeless tramp .,the tramp of military boots .,0,427
life,life,the battery had a short life .,he lived a long and happy life .,1,428
make,make,make an estimate .,can you make me an omelette ?,0,429
run,run,the sale will run for ten days .,they ran twenty blood tests on me and they still do n't know what 's wrong .,0,430
break,break,break the cycle of poverty .,the first winter storm broke over new york .,0,431
notice,notice,a notice of sale .,"he took no notice of the changes , and went on as though nothing had happened .",0,432
tomorrow,tomorrow,everyone hopes for a better tomorrow .,tomorrow 's world .,1,433
break,break,break a promise .,the surf broke .,0,434
master,master,a master of the violin .,one of the old masters .,1,435
mixture,mixture,he drank a mixture of beer and lemonade .,a gradual mixture of cultures .,0,436
keep,keep,can i keep my old stuffed animals ?,keep smiling .,0,437
cut,cut,the glass from the shattered windshield cut into her forehead .,the new tooth is cutting .,0,438
suffer,suffer,i 've been suffering your insults for years .,he suffered the penalty .,1,439
call,call,he placed a phone call to london .,i received several phone calls today .,1,440
service,service,service my truck .,the washing machine needs to be serviced .,1,441
break,break,i had to break a $ 100 bill just to buy the candy .,his voice is breaking -- he should no longer sing in the choir .,0,442
make,make,make one 's way into the forest .,make yourself clear .,0,443
turn,turn,turn cartwheels .,turn a somersault .,1,444
emission,emission,the emission of heat from a fire .,the emission was mostly blood .,0,445
catch,catch,i have some free time tonight so i think i 'll catch a movie .,the fashion did not catch .,0,446
repair,repair,to repair a shattered fortune .,to repair to sanctuary for safety .,0,447
excuse,excuse,he 's a sorry excuse of a doctor .,he had to get his mother to write an excuse for him .,0,448
touch,touch,the local mafia wo n't touch gambling .,are you all right ? you 've hardly touched your lunch .,0,449
dent,dent,it made a dent in my bank account .,the crash produced a dent in the left side of the car .,0,450
keep,keep,where do you keep your gardening tools ?,these potatoes keep for a long time .,0,451
patch,patch,a cabbage patch .,a briar patch .,1,452
take,take,take a risk .,i 'll take that plate off the table .,0,453
see,see,i want to see whether she speaks french .,i saw their laughing and joking .,0,454
place,place,he overstepped his place .,it is really not my place to say what is right and wrong in this case .,1,455
hold,hold,the general ordered the colonel to hold his position at all costs .,he held the governorship for almost a decade .,0,456
break,break,the break in the eighth frame cost him the match .,they hoped to avoid a break in relations .,0,457
line,line,in line with .,he got out of line .,1,458
head,head,under the head of minor roman poets .,the head of the hammer .,0,459
come,come,come into the room .,come down here !,1,460
run,run,the team enjoyed a brief run of victories .,"yesterday we did a run of 12,000 units .",0,461
take,take,how should i take this message ?,"looking at him as he came into the room , i took him for his father .",1,462
grain,grain,he does not have a grain of sense .,a grain of sand .,0,463
strike,strike,we must strike the enemy 's oil fields .,"in the fifth inning , the giants struck , sending three runners home to win the game 5 to 2 .",1,464
fill,fill,fill a container .,the liquid fills the container .,0,465
summer,summer,we like to summer in the mediterranean .,we summered in kashmir .,1,466
way,way,i felt the same way .,that 's the way it is .,1,467
party,party,the green party took 12 % of the vote .,in 1992 perot tried to organize a third party at the national level .,1,468
reproduction,reproduction,unauthorized reproduction of this article is prohibited .,gutenberg 's reproduction of holy texts was far more efficient .,1,469
leak,leak,a leak in a boat .,a leak in a roof .,1,470
grain,grain,a grain of salt .,a grain of sand .,1,471
multiply,multiply,he managed to multiply his profits .,"he had been multiplying , but it occurred to him he needed to resolve the exponents , first .",1,472
baby,baby,it was great to feel my baby moving about inside .,i felt healthy and very feminine carrying the baby .,1,473
see,see,you should see a lawyer .,we had to see a psychiatrist .,1,474
term,term,he left school before the end of term .,he was sentenced to a term of six years in prison .,1,475
get,get,she did n't get his name when they met the first time .,her childish behavior really get to me .,0,476
rest,rest,"now that we 're all in agreement , we can put that issue to rest .",the boulder came to rest just behind the house after rolling down the mountain .,1,477
