,sentence1,sentence2,label,hypothesis_graph_structure
139,moving mass of air and sand.,The best explanation for how air masses move across the united states is that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream.,0,air masses<>move<>across the united states$$$the prevailing westerlies<>may be deflected<>by the jet stream$$$The best explanation for how air masses move across the united states<>is<>that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream$$$the prevailing westerlies<>move<>air masses<>from west<>to east<>across the united states
140,"I believe they have good intentions of protecting everyone, but if a child is reprimanded wrongly the parents should speak to the school about it and explain their case.",Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
141,"Earth orbits Sun, and rotates once per day about axis.",Earth rotates on its axis once times in one day.,1,Earth<>rotates on<>its axis once times$$$Earth<>rotates on its axis once times in<>one day$$$its axis once times<>in<>one day
142,"When winter hits the north, many birds fly far south to the warmth of the tropics where food is more plentiful.",Many species of birds in new england fly south for the winter months to find an environment with more food.,1,the winter months<>to find<>an environment with more food
143,The year is based on one complete revolution of the earth around the sun.,Earth makes a complete revolution around the sun about once every year.,1,Earth<>makes about once<>a complete revolution around the sun
144,"The objectives will be met, and comprehension will be achieved, when students are able to learn how to select and apply specific ""tools"" to examples and issues found in assigned and suggested readings and research.",Being able to read is an example of a learned trait.,0,Being able to read<>is<>an example of a learned trait
145,"water cycle, properties of matter, states of matter, solid, liquid, gas, vapor, energy, heat, freezing, boiling, melting, pressure, mass, volume, density, thermometer, precipitation, evaporation, condensation, sublimation, physical changes, and chemical changes",Evaporation and condensation are similar because both are caused by changes in heat energy.,0,Evaporation and condensation<>are<>similar<>because both are caused by changes in heat energy$$$both<>are caused<>by changes in heat energy
146,*,It takes earth one week to rotate on its axis seven times.,0,It<>takes<>earth one week$$$It<>takes earth one week to rotate on<>its axis$$$It<>takes earth one week to rotate on its axis<>seven times$$$earth one week<>to rotate on<>its axis$$$earth one week<>to rotate on its axis<>seven times
147,"J 535.4 B The Apple Pie Tree by Zoe Hall Two sisters watch their backyard apple tree grow leaves, flowers, and fruit.",A sign that an apple tree is going to start growing apples is that the tree has flowers.,0,an apple tree<>to start<>growing apples$$$A sign that an apple tree is going to start growing apples<>is<>that the tree has flowers$$$the tree<>has<>flowers
148,relay electromechanical switch operated by a flow of electricity in one circuit and controlling the flow of electricity in another circuit.,A parallel circuit is best described as: electricity flows along more than one pathway,0,A parallel circuit<>is best described<>as: electricity flows along more than one pathway$$$electricity<>flows<>along more than one pathway
149,"energy (heat, light, sound);","Heat, light, and sound are all different forms of energy.",1,"Heat, light, and sound<>are<>different forms of energy$$$Heat<>[is]<>light"
150,"The coureurs des bois and voyageurs sometimes traded for food, such as corn, peas, beans, dried pumpkin, fruits and game.",A pumpkin is a fruit.,0,A pumpkin<>is<>a fruit
151,"The force of gravity, which holds us to the Earth, causes eroded rocks to roll off elevated areas into valleys and river beds.",Gravity causes rocks to roll downhill.,1,Gravity<>causes<>rocks to roll downhill$$$rocks<>to roll<>downhill
152,food is the main reason why birds fly down south during the winter.,Many species of birds in new england fly south for the winter months to find an environment with more food.,1,the winter months<>to find<>an environment with more food
153,"In this case the revolution of the earth about the sun also has a small effect (if we revolved once every 24 hours and rotated once a year, it would have the dominant effect.)",Earth makes a complete revolution around the sun about once every year.,0,Earth<>makes about once<>a complete revolution around the sun
154,"Note that coal, oil and natural gas are primary energy sources which are extracted from the earth (fossil fuels).",Coal can be mined from earth and used as an energy source.,1,Coal<>can be mined<>from earth$$$Coal<>used<>as an energy source
155,The experience will benefit students and other science teachers in the school.,"If an accident happens during a science experiment, the first thing a student should do is report to the teacher.",0,an accident<>happens<>during a science experiment$$$the first thing<>should do<>a student$$$the first thing a student should do<>is<>report to the teacher
156,You'll notice a number of words blocked in light blue.,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
157,Why is the Blue block blue?,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
158,"Natural waters of the earth, as those of springs, rivers, or the oceans, contain more or less dissolved matter, which is mostly removed by distillation.",Most of earth's water is located in oceans,0,Most of earth's water<>is located<>in oceans
